,STATION,DATE,Latitudes,Longitudes,wind_x,wind_y,temperature,pressure,ceiling,visibility,dew,precipitation_duration,precipitation_depth,mean_aod,min_aod,max_aod,pm25
0,72032999999,2018-02-01,0.813701151977658,-0.4786673920016916,-0.7482272667000001,-0.6558283153,0.8941008874648805,-0.4447121075025483,0.8638287267704552,-0.7208055546399961,-1.4842712698888778,0.062379543757671914,-0.12721871461253362,-1.0612112868254338,-0.8112082844987134,-1.2601677286483546,-0.2634689708447436
1,72032999999,2018-02-03,0.813701151977658,-0.4786673920016916,-0.9712980568,0.23212863239999998,1.0828262402290025,0.6169014973945997,0.8142969183674911,-0.7218072866288281,-1.076863393228908,0.062379543757671914,-0.12721871461253362,-1.0609578226127434,-0.6245699607866059,-1.5282067591377129,2.1319326892036767
2,72032999999,2018-02-04,0.813701151977658,-0.4786673920016916,2.867176001,-0.4008371984,1.3331762006372467,0.18265047082563624,0.8638287267704552,-0.7253133480294177,-1.3968051720510908,0.062379543757671914,-0.12721871461253362,-1.1919546962120564,-0.9622964513132768,-0.9474555264107701,1.3712530131788085
3,72032999999,2018-02-05,0.813701151977658,-0.4786673920016916,0.7431670254,2.547461846,1.0828262402290025,-0.43896311823730866,0.8638287267704552,-0.7218072866288281,-0.888866395037558,0.062379543757671914,-0.12721871461253362,-1.0167463751939743,-0.9356338336401187,-0.804501376816446,-0.5887704308513191
4,72032999999,2018-02-06,0.813701151977658,-0.4786673920016916,-0.0965738933,1.40876917,0.33562789992845526,-0.5492555437293423,0.8638287267704552,-0.7298211414188394,-0.2758580765309127,-0.46829695093176427,-0.12721871461253362,-1.1223626065262848,-0.7578830491523969,-1.2869716316972903,1.3630383291881347
5,72032999999,2018-02-07,0.813701151977658,-0.4786673920016916,3.202166346,1.736717603,0.6360478507544832,1.2780810213785243,0.8638287267704552,-0.7278186116106146,-1.3300547289556364,0.062379543757671775,-0.12721871461253362,-1.2433858551401216,-0.9534089120888907,-1.3941872438930336,-0.736634730854308
6,72032999999,2018-02-08,0.813701151977658,-0.4786673920016916,7.731240914999999,-3.234236686,1.0289047116601417,1.0881872748331616,0.8638287267704552,-0.7203046887576445,-2.225431361744387,0.03261128300710541,-0.12721871461253362,-1.4153192482224006,-0.9445213728645047,-1.706899446130618,-0.04167252084026022
7,72032999999,2018-02-09,0.813701151977658,-0.4786673920016916,-0.042425385999999995,-2.427090193,1.2484423668597702,-0.24345924277912004,0.8638287267704552,-0.7238107503823631,-1.9262052376148189,-0.017479540394621882,-0.12721871461253362,-1.0444343511338456,-0.6956702745816944,-1.4120565125923243,-0.2191096808438468
8,72032999999,2018-02-11,0.813701151977658,-0.4786673920016916,-1.8846256780000001,-2.689632842,-0.6696234770824906,-1.4036834885584857,0.24719092135638926,-0.7413438594453712,0.000756842665777306,-0.41820612753003705,-0.12721871461253362,-0.7333912133363345,-0.6156824215622198,-0.5096584432781521,0.18012392916422312
9,72032999999,2018-02-13,0.813701151977658,-0.4786673920016916,-0.2534274171,1.2093035840000002,-1.4745948868760836,0.2342793756372635,-0.6558085284252092,-0.7208055546399961,-0.5313511517415874,-0.3259751786275842,0.04115136931003099,-0.76442853311195,-0.86453351984503,-0.4381813684809899,-0.4630857758487785
10,72032999999,2018-02-15,0.813701151977658,-0.4786673920016916,-3.025472213,-1.368874248,-0.4577888954119077,0.6961161470249714,-0.6586692291683418,-0.7208055546399961,-0.16537458451656484,0.062379543757671914,-0.11889351012199253,-1.0506864777583926,-0.8911961375181883,-1.1976252882008376,-0.29304183084534124
11,72032999999,2018-02-16,0.813701151977658,-0.4786673920016916,5.719814223,-2.2018769160000002,-0.13485643566991903,1.1417195458490836,0.8638287267704552,-0.7203046887576445,-2.1970098836643563,0.062379543757671914,-0.12721871461253362,-1.173049465782164,-0.873421059069416,-1.4299257812916149,-0.7662075908549058
12,72032999999,2018-02-17,0.813701151977658,-0.4786673920016916,0.11672624250000001,0.0532152779,-0.099595877865941,0.9539135405208592,0.8638287267704552,-0.7203046887576445,-2.356630508501067,-0.017479540394621882,-0.12721871461253362,-1.1107515222619992,-0.8112082844987134,-1.4835335873894864,-0.3101629597746085
13,72032999999,2018-02-18,0.813701151977658,-0.4786673920016916,2.107305491,0.4512320078,-0.4500858218828612,-0.20710387949207792,0.8638287267704552,-0.7203046887576445,-1.1459155757088733,-0.4322315580887929,-0.12721871461253362,-0.9238576823233206,-0.5712447254402894,-0.9831940638093513,-0.17552862431215405
14,72032999999,2018-02-19,0.813701151977658,-0.4786673920016916,1.3316966159999999,-1.188735076,-1.6171017873734979,-1.5192831672812674,-1.2274097285409769,-0.7263160137394311,-0.9682277765795796,-0.5764931294606784,0.8093667905733375,-0.9165831271866959,-0.8023207452743274,-0.902782354662544,-0.7207108831161818
15,72032999999,2018-02-20,0.813701151977658,-0.4786673920016916,4.8920550050000005,-1.0677343369999999,-2.536188760561416,0.551902986196307,0.7212818983032938,-0.7208198650489518,-3.27370925496105,0.07985221855116112,-0.08605520350885108,-1.3540633242432962,-0.9622964513132768,-1.1886906538511925,-0.6865251625035325
16,72032999999,2018-02-21,0.813701151977658,-0.4786673920016916,1.895318328,1.485457042,-2.1601686231375488,1.2408482643198535,-0.4852686304666062,-0.7203046887576445,-2.3313113748902774,-0.19523040512069512,-0.12721871461253362,0.0733560125589941,0.37083443234463515,-0.20588087539021294,-0.28121268684510214
